거래일시,연월,주문번호,고객ID,상품코드,수량,매출,단가,구매채널,디지털채널,결제수단,배송유형,카테고리,상품명,시도,권역
2020-12-01,2020-12-01,536390,17511,22960,2,33521,16760,오프라인,,카드,매장구매,Grooming,Rechargeable Pet Nail Grinder,경기,수도권
2020-12-01,2020-12-01,536390,17511,22197,17,106324,6254,오프라인,,카드,매장구매,Food,Sheba Perfect Portions Paté Wet Cat Food,경기,수도권
2020-12-01,2020-12-01,536392,13705,22502,1,26593,26593,오프라인,,카드,매장구매,Electronics,Indoor Pet Camera,경남,비수도권
2020-12-01,2020-12-01,536392,13705,84879,3,22660,7553,오프라인,,카드,매장구매,Cleanig Supplies,Pet Odor Eliminator,경남,비수도권
2020-12-01,2020-12-01,536394,13408,85123A,6,68382,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,경북,비수도권
2020-12-01,2020-12-01,536395,13767,22114,2,35308,17654,온라인,PC웹,카드,택배배송,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,경기,수도권
2020-12-01,2020-12-01,536395,13767,84879,6,45320,7553,온라인,PC웹,카드,택배배송,Cleanig Supplies,Pet Odor Eliminator,경기,수도권
2020-12-01,2020-12-01,536396,17850,85123A,1,11397,11397,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-01,2020-12-01,536398,13448,22114,1,17654,17654,온라인,PC웹,카드,택배배송,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,경기,수도권
2020-12-01,2020-12-01,536401,15862,85123A,1,13185,13185,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Disposables,Dog and Puppy Pads,경기,수도권
2020-12-01,2020-12-01,536401,15862,22502,1,26593,26593,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Electronics,Indoor Pet Camera,경기,수도권
2020-12-01,2020-12-01,536401,15862,20725,1,7375,7375,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Grooming,Pet Grooming Brush,경기,수도권
2020-12-01,2020-12-01,536402,15513,22086,7,79779,11397,오프라인,,카드,매장구매,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,서울,수도권
2020-12-01,2020-12-01,536404,16218,22197,6,44302,7384,오프라인,,계좌이체,매장구매,Food,Sheba Perfect Portions Paté Wet Cat Food,경기,수도권
2020-12-01,2020-12-01,536406,17850,85123A,2,22794,11397,온라인,앱,카드,새벽배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-01,2020-12-01,536408,14307,22114,1,17654,17654,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,광주,비수도권
2020-12-01,2020-12-01,536408,14307,84879,2,15107,7553,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Cleanig Supplies,Pet Odor Eliminator,광주,비수도권
2020-12-01,2020-12-01,536409,17908,85099B,1,8715,8715,온라인,앱,카드,당일배송,Disposables,Earth Rated Dog Poop Bags,경기,수도권
2020-12-01,2020-12-01,536409,17908,22197,1,7384,7384,온라인,앱,카드,당일배송,Food,Sheba Perfect Portions Paté Wet Cat Food,경기,수도권
2020-12-01,2020-12-01,536412,17920,22086,1,13185,13185,온라인,앱,카드,택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,서울,수도권
2020-12-01,2020-12-01,536412,17920,20725,1,7375,7375,온라인,앱,카드,택배배송,Grooming,Pet Grooming Brush,서울,수도권
2020-12-01,2020-12-01,536412,17920,22197,1,7384,7384,온라인,앱,카드,택배배송,Food,Sheba Perfect Portions Paté Wet Cat Food,서울,수도권
2020-12-01,2020-12-01,536415,12838,22086,1,13185,13185,온라인,앱,카드,당일배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,충북,비수도권
2020-12-01,2020-12-01,536425,13758,79321,2,44247,22124,온라인,앱,계좌이체,새벽배송,Supplements,ProBiotic Supplements for Dogs,충남,비수도권
2020-12-01,2020-12-01,536460,14849,84879,4,30213,7553,오프라인,,간편결제(네이버/카카오/토스),매장구매,Cleanig Supplies,Pet Odor Eliminator,인천,수도권
2020-12-01,2020-12-01,536466,14849,22960,1,18995,18995,오프라인,,간편결제(네이버/카카오/토스),매장구매,Grooming,Rechargeable Pet Nail Grinder,인천,수도권
2020-12-01,2020-12-01,536464,17968,85099B,1,8715,8715,온라인,PC웹,카드,택배배송,Disposables,Earth Rated Dog Poop Bags,서울,수도권
2020-12-01,2020-12-01,536464,17968,22086,1,13185,13185,온라인,PC웹,카드,택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,서울,수도권
2020-12-01,2020-12-01,536464,17968,22386,1,16939,16939,온라인,PC웹,카드,택배배송,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,서울,수도권
2020-12-01,2020-12-01,536464,17968,84879,2,15107,7553,온라인,PC웹,카드,택배배송,Cleanig Supplies,Pet Odor Eliminator,서울,수도권
2020-12-01,2020-12-01,536464,17968,22960,1,18995,18995,온라인,PC웹,카드,택배배송,Grooming,Rechargeable Pet Nail Grinder,서울,수도권
2020-12-01,2020-12-01,536464,17968,22197,1,7384,7384,온라인,PC웹,카드,택배배송,Food,Sheba Perfect Portions Paté Wet Cat Food,서울,수도권
2020-12-01,2020-12-01,536477,16210,21137,80,2355799,29447,온라인,앱,카드,택배배송,Food,Canned Cat Food,경기,수도권
2020-12-01,2020-12-01,536477,16210,22423,3,285354,95118,온라인,앱,카드,택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,경기,수도권
2020-12-01,2020-12-01,536488,17897,22960,2,37990,18995,오프라인,,카드,매장구매,Grooming,Rechargeable Pet Nail Grinder,경기,수도권
2020-12-01,2020-12-01,536502,16552,85123A,1,13185,13185,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-01,2020-12-01,536502,16552,84879,3,22660,7553,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Cleanig Supplies,Pet Odor Eliminator,대구,비수도권
2020-12-01,2020-12-01,536502,16552,22423,1,110754,110754,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,대구,비수도권
2020-12-01,2020-12-01,,17897,22960,-1,-18995,18995,오프라인,,카드,매장구매,Grooming,Rechargeable Pet Nail Grinder,경기,수도권
2020-12-01,2020-12-01,536520,14729,85123A,1,13185,13185,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Dog and Puppy Pads,서울,수도권
2020-12-01,2020-12-01,536520,14729,22197,1,7384,7384,오프라인,,간편결제(네이버/카카오/토스),매장구매,Food,Sheba Perfect Portions Paté Wet Cat Food,서울,수도권
2020-12-01,2020-12-01,536522,15012,85099B,1,8715,8715,온라인,앱,간편결제(네이버/카카오/토스),새벽배송,Disposables,Earth Rated Dog Poop Bags,부산,비수도권
2020-12-01,2020-12-01,536525,14078,22423,1,110754,110754,오프라인,,카드,매장구매,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,울산,비수도권
2020-12-01,2020-12-01,536526,14001,85099B,2,17431,8715,온라인,모바일웹,간편결제(네이버/카카오/토스),택배배송,Disposables,Earth Rated Dog Poop Bags,경기,수도권
2020-12-01,2020-12-01,536528,15525,22960,1,18995,18995,온라인,앱,카드,새벽배송,Grooming,Rechargeable Pet Nail Grinder,경남,비수도권
2020-12-01,2020-12-01,536528,15525,22423,1,110754,110754,온라인,앱,카드,새벽배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,경남,비수도권
2020-12-01,2020-12-01,536530,17905,22423,1,110754,110754,온라인,모바일웹,카드,새벽배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,서울,수도권
2020-12-01,2020-12-01,536531,15485,22086,14,159558,11397,온라인,모바일웹,카드,택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,제주,비수도권
2020-12-01,2020-12-01,536532,12433,22114,2,35308,17654,오프라인,,카드,매장구매,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,경기,수도권
2020-12-01,2020-12-01,536532,12433,22197,12,88603,7384,오프라인,,카드,매장구매,Food,Sheba Perfect Portions Paté Wet Cat Food,경기,수도권
2020-12-01,2020-12-01,536536,18144,84879,14,105746,7553,온라인,모바일웹,카드,택배배송,Cleanig Supplies,Pet Odor Eliminator,서울,수도권
2020-12-01,2020-12-01,536537,15922,22423,1,110754,110754,온라인,PC웹,간편결제(네이버/카카오/토스),새벽배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,전북,비수도권
2020-12-01,2020-12-01,536538,14594,22086,1,13185,13185,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,경북,비수도권
2020-12-01,2020-12-01,536539,15165,22114,1,17654,17654,오프라인,,카드,매장구매,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,경기,수도권
2020-12-01,2020-12-01,536539,15165,22423,1,110754,110754,오프라인,,카드,매장구매,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,경기,수도권
2020-12-01,2020-12-01,536542,16456,85123A,6,79109,13185,온라인,앱,기타,새벽배송,Disposables,Dog and Puppy Pads,충남,비수도권
2020-12-01,2020-12-01,536542,16456,85099B,7,61008,8715,온라인,앱,기타,새벽배송,Disposables,Earth Rated Dog Poop Bags,충남,비수도권
2020-12-01,2020-12-01,536542,16456,22386,5,84694,16939,온라인,앱,기타,새벽배송,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,충남,비수도권
2020-12-01,2020-12-01,536557,17841,22114,1,17654,17654,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,인천,수도권
2020-12-01,2020-12-01,536557,17841,82484,1,56028,56028,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Food,NexGard Chew for Dogs,인천,수도권
2020-12-01,2020-12-01,536557,17841,79321,4,75980,18995,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Supplements,ProBiotic Supplements for Dogs,인천,수도권
2020-12-01,2020-12-01,536560,13093,79321,8,151960,18995,오프라인,,카드,매장구매,Supplements,ProBiotic Supplements for Dogs,인천,수도권
2020-12-01,2020-12-01,536560,13093,22960,2,33521,16760,오프라인,,카드,매장구매,Grooming,Rechargeable Pet Nail Grinder,인천,수도권
2020-12-01,2020-12-01,536562,13468,22423,1,110754,110754,오프라인,,카드,매장구매,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,충남,비수도권
2020-12-01,2020-12-01,536569,16274,22086,1,13185,13185,오프라인,,계좌이체,매장구매,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,부산,비수도권
2020-12-01,2020-12-01,536575,13777,85123A,22,250734,11397,오프라인,,카드,매장구매,Disposables,Dog and Puppy Pads,제주,비수도권
2020-12-01,2020-12-01,536575,13777,85099B,12,88494,7375,오프라인,,카드,매장구매,Disposables,Earth Rated Dog Poop Bags,제주,비수도권
2020-12-01,2020-12-01,536576,13777,85123A,22,250734,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,제주,비수도권
2020-12-01,2020-12-01,536576,13777,85099B,5,36873,7375,온라인,앱,카드,택배배송,Disposables,Earth Rated Dog Poop Bags,제주,비수도권
2020-12-01,2020-12-01,536577,13777,20725,10,64807,6481,오프라인,,계좌이체,매장구매,Grooming,Pet Grooming Brush,제주,비수도권
2020-12-01,2020-12-01,536581,13777,85099B,34,250734,7375,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Disposables,Earth Rated Dog Poop Bags,제주,비수도권
2020-12-01,2020-12-01,536587,14142,22114,1,17654,17654,오프라인,,간편결제(네이버/카카오/토스),매장구매,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,서울,수도권
2020-12-01,2020-12-01,536588,17069,22960,1,18995,18995,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Grooming,Rechargeable Pet Nail Grinder,광주,비수도권
2020-12-01,2020-12-01,536590,13065,22114,1,17654,17654,온라인,모바일웹,카드,택배배송,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,세종,비수도권
2020-12-01,2020-12-01,536590,13065,85123A,1,13185,13185,온라인,모바일웹,카드,택배배송,Disposables,Dog and Puppy Pads,세종,비수도권
2020-12-01,2020-12-01,536591,14606,22386,1,16939,16939,오프라인,,간편결제(네이버/카카오/토스),매장구매,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,경기,수도권
2020-12-01,2020-12-01,536594,15235,85123A,1,13185,13185,온라인,앱,간편결제(네이버/카카오/토스),당일배송,Disposables,Dog and Puppy Pads,경기,수도권
2020-12-01,2020-12-01,536595,13576,21137,10,294475,29447,온라인,모바일웹,카드,택배배송,Food,Canned Cat Food,경기,수도권
2020-12-01,2020-12-01,536597,18011,22086,1,13185,13185,온라인,앱,카드,택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,제주,비수도권
2020-12-01,2020-12-01,536597,18011,22197,1,7384,7384,온라인,앱,카드,택배배송,Food,Sheba Perfect Portions Paté Wet Cat Food,제주,비수도권
2020-12-02,2020-12-01,536600,17850,85123A,1,11397,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536602,17850,85123A,1,11397,11397,온라인,모바일웹,간편결제(네이버/카카오/토스),새벽배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536607,17732,22114,1,17654,17654,오프라인,,간편결제(네이버/카카오/토스),매장구매,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,세종,비수도권
2020-12-02,2020-12-01,536607,17732,85123A,1,13185,13185,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Dog and Puppy Pads,세종,비수도권
2020-12-02,2020-12-01,536607,17732,85099B,2,17431,8715,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Earth Rated Dog Poop Bags,세종,비수도권
2020-12-02,2020-12-01,536607,17732,22386,2,33878,16939,오프라인,,간편결제(네이버/카카오/토스),매장구매,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,세종,비수도권
2020-12-02,2020-12-01,536607,17732,84879,2,15107,7553,오프라인,,간편결제(네이버/카카오/토스),매장구매,Cleanig Supplies,Pet Odor Eliminator,세종,비수도권
2020-12-02,2020-12-01,536607,17732,22423,1,110754,110754,오프라인,,간편결제(네이버/카카오/토스),매장구매,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,세종,비수도권
2020-12-02,2020-12-01,536609,17850,85123A,1,11397,11397,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536612,17850,85123A,1,11397,11397,온라인,PC웹,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536616,17925,21137,12,353370,29447,오프라인,,간편결제(네이버/카카오/토스),매장구매,Food,Canned Cat Food,경북,비수도권
2020-12-02,2020-12-01,536617,13941,79321,4,75980,18995,온라인,모바일웹,카드,택배배송,Supplements,ProBiotic Supplements for Dogs,서울,수도권
2020-12-02,2020-12-01,536618,17017,22197,8,59069,7384,온라인,앱,계좌이체,택배배송,Food,Sheba Perfect Portions Paté Wet Cat Food,세종,비수도권
2020-12-02,2020-12-01,536619,17017,22960,2,33521,16760,온라인,앱,카드,택배배송,Grooming,Rechargeable Pet Nail Grinder,세종,비수도권
2020-12-02,2020-12-01,536627,15658,22423,1,110754,110754,온라인,모바일웹,간편결제(네이버/카카오/토스),택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,제주,비수도권
2020-12-02,2020-12-01,536628,17850,85123A,1,11397,11397,온라인,PC웹,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536630,17850,85123A,1,11397,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536632,14388,85099B,2,17431,8715,오프라인,,카드,매장구매,Disposables,Earth Rated Dog Poop Bags,서울,수도권
2020-12-02,2020-12-01,536632,14388,22386,2,33878,16939,오프라인,,카드,매장구매,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,서울,수도권
2020-12-02,2020-12-01,536633,14901,22086,2,26370,13185,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,전남,비수도권
2020-12-02,2020-12-01,536633,14901,22960,1,18995,18995,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Grooming,Rechargeable Pet Nail Grinder,전남,비수도권
2020-12-02,2020-12-01,536635,15955,22114,2,35308,17654,오프라인,,카드,매장구매,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,경기,수도권
2020-12-02,2020-12-01,536635,15955,22502,2,53186,26593,오프라인,,카드,매장구매,Electronics,Indoor Pet Camera,경기,수도권
2020-12-02,2020-12-01,536636,15070,22086,6,79109,13185,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,강원,비수도권
2020-12-02,2020-12-01,536637,18041,22960,1,18995,18995,온라인,모바일웹,카드,새벽배송,Grooming,Rechargeable Pet Nail Grinder,경북,비수도권
2020-12-02,2020-12-01,536637,18041,22197,1,7384,7384,온라인,모바일웹,카드,새벽배송,Food,Sheba Perfect Portions Paté Wet Cat Food,경북,비수도권
2020-12-02,2020-12-01,536638,16244,22502,1,26593,26593,오프라인,,카드,매장구매,Electronics,Indoor Pet Camera,경기,수도권
2020-12-02,2020-12-01,536643,14390,85099B,1,8715,8715,온라인,앱,카드,택배배송,Disposables,Earth Rated Dog Poop Bags,경남,비수도권
2020-12-02,2020-12-01,536667,15260,22086,2,26370,13185,온라인,앱,카드,당일배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,경기,수도권
2020-12-02,2020-12-01,536667,15260,79321,1,22124,22124,온라인,앱,카드,당일배송,Supplements,ProBiotic Supplements for Dogs,경기,수도권
2020-12-02,2020-12-01,536667,15260,22423,1,110754,110754,온라인,앱,카드,당일배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,경기,수도권
2020-12-02,2020-12-01,536681,17287,84879,2,15107,7553,온라인,PC웹,카드,택배배송,Cleanig Supplies,Pet Odor Eliminator,충북,비수도권
2020-12-02,2020-12-01,536681,17287,22423,1,110754,110754,온라인,PC웹,카드,택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,충북,비수도권
2020-12-02,2020-12-01,536685,17850,85123A,2,22794,11397,오프라인,,카드,매장구매,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536690,17850,85123A,1,11397,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536707,12915,22423,1,110754,110754,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,전남,비수도권
2020-12-02,2020-12-01,536732,15544,22086,1,13185,13185,온라인,앱,카드,택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,제주,비수도권
2020-12-02,2020-12-01,536732,15544,22423,1,110754,110754,온라인,앱,카드,택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,제주,비수도권
2020-12-02,2020-12-01,536741,13117,84879,2,15107,7553,온라인,앱,카드,택배배송,Cleanig Supplies,Pet Odor Eliminator,대구,비수도권
2020-12-02,2020-12-01,536742,16916,22086,1,13185,13185,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,경기,수도권
2020-12-02,2020-12-01,536744,14466,22423,1,110754,110754,온라인,PC웹,카드,택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,경기,수도권
2020-12-02,2020-12-01,536749,17976,85123A,1,13185,13185,오프라인,,카드,매장구매,Disposables,Dog and Puppy Pads,경기,수도권
2020-12-02,2020-12-01,536749,17976,84879,1,7553,7553,오프라인,,카드,매장구매,Cleanig Supplies,Pet Odor Eliminator,경기,수도권
2020-12-02,2020-12-01,536750,17850,85123A,2,22794,11397,온라인,앱,카드,당일배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536752,17850,85123A,1,11397,11397,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536754,14449,21137,1,32575,32575,온라인,앱,카드,택배배송,Food,Canned Cat Food,경남,비수도권
2020-12-02,2020-12-01,536754,14449,22197,1,7384,7384,온라인,앱,카드,택배배송,Food,Sheba Perfect Portions Paté Wet Cat Food,경남,비수도권
2020-12-02,2020-12-01,536759,16781,82484,1,56028,56028,온라인,앱,카드,택배배송,Food,NexGard Chew for Dogs,경기,수도권
2020-12-02,2020-12-01,536763,17685,85123A,2,26370,13185,온라인,앱,카드,택배배송,Disposables,Dog and Puppy Pads,전북,비수도권
2020-12-02,2020-12-01,536763,17685,79321,4,75980,18995,온라인,앱,카드,택배배송,Supplements,ProBiotic Supplements for Dogs,전북,비수도권
2020-12-02,2020-12-01,536769,17581,22086,3,39554,13185,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,대구,비수도권
2020-12-02,2020-12-01,536769,17581,20725,2,14749,7375,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Grooming,Pet Grooming Brush,대구,비수도권
2020-12-02,2020-12-01,536769,17581,79321,1,22124,22124,온라인,앱,간편결제(네이버/카카오/토스),택배배송,Supplements,ProBiotic Supplements for Dogs,대구,비수도권
2020-12-02,2020-12-01,536771,17581,22960,1,18995,18995,온라인,앱,간편결제(네이버/카카오/토스),새벽배송,Grooming,Rechargeable Pet Nail Grinder,대구,비수도권
2020-12-02,2020-12-01,536777,15732,85099B,4,34861,8715,온라인,앱,카드,당일배송,Disposables,Earth Rated Dog Poop Bags,충북,비수도권
2020-12-02,2020-12-01,536782,17567,22197,2,14767,7384,오프라인,,카드,매장구매,Food,Sheba Perfect Portions Paté Wet Cat Food,충북,비수도권
2020-12-02,2020-12-01,536785,15061,84879,54,349955,6481,오프라인,,카드,매장구매,Cleanig Supplies,Pet Odor Eliminator,서울,수도권
2020-12-02,2020-12-01,536785,15061,22423,24,2282832,95118,오프라인,,카드,매장구매,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,서울,수도권
2020-12-02,2020-12-01,536787,17850,85123A,1,11397,11397,온라인,PC웹,카드,새벽배송,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536790,17850,85123A,2,26370,13185,오프라인,,기타,매장구매,Disposables,Dog and Puppy Pads,대구,비수도권
2020-12-02,2020-12-01,536793,16203,22960,1,18995,18995,온라인,앱,카드,택배배송,Grooming,Rechargeable Pet Nail Grinder,인천,수도권
2020-12-02,2020-12-01,536794,13767,22114,2,35308,17654,온라인,앱,카드,택배배송,Grooming,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,경기,수도권
2020-12-02,2020-12-01,536795,15640,85123A,6,68382,11397,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Dog and Puppy Pads,부산,비수도권
2020-12-02,2020-12-01,536795,15640,22086,7,79779,11397,오프라인,,간편결제(네이버/카카오/토스),매장구매,Disposables,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,부산,비수도권
2020-12-02,2020-12-01,536796,15574,84879,1,7553,7553,온라인,앱,계좌이체,택배배송,Cleanig Supplies,Pet Odor Eliminator,제주,비수도권
2020-12-02,2020-12-01,536799,17228,85099B,1,8715,8715,온라인,앱,카드,택배배송,Disposables,Earth Rated Dog Poop Bags,광주,비수도권
2020-12-02,2020-12-01,536799,17228,22386,1,16939,16939,온라인,앱,카드,택배배송,Food,Milk-Bone MaroSnacks Dog Treats with Real Bone,광주,비수도권
2020-12-02,2020-12-01,536800,14829,22960,1,18995,18995,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Grooming,Rechargeable Pet Nail Grinder,광주,비수도권
2020-12-02,2020-12-01,536804,14031,84879,8,60426,7553,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Cleanig Supplies,Pet Odor Eliminator,경기,수도권
2020-12-02,2020-12-01,536804,14031,22423,3,285354,95118,온라인,PC웹,간편결제(네이버/카카오/토스),택배배송,Food,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,경기,수도권
